GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
scb-java-client,com.github.dannil.scbjavaclient.client.population.statistics.household,PopulationStatisticsHouseholdClient,0,120,0,0,0,26,0,9,0,9
scb-java-client,com.github.dannil.scbjavaclient.client.energy,EnergyClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.pricesandconsumption.ppi.spin2002month,PricesAndConsumptionPPISPIN2002MonthClient,0,97,0,0,0,21,0,16,0,16
scb-java-client,com.github.dannil.scbjavaclient.client.environment.seea,EnvironmentSEEAClient,0,69,0,0,0,16,0,8,0,8
scb-java-client,com.github.dannil.scbjavaclient.client.environment.shorelinelanduse,EnvironmentShorelineLandUseClient,0,37,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.environment.protectednature.populationandaccessibility,EnvironmentProtectedNaturePopulationAndAccessibilityClient,0,60,0,0,0,15,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.publicfinances.annualaccounts.balancesheetcounty,PublicFinancesAnnualAccountsBalanceSheetCountyClient,0,162,0,0,0,35,0,13,0,13
scb-java-client,com.github.dannil.scbjavaclient.client.agriculture.livestock,AgricultureLivestockClient,0,72,0,0,0,17,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.environment.protectednature.numberandarea,EnvironmentProtectedNatureNumberAndAreaClient,0,198,0,0,0,43,0,17,0,17
scb-java-client,com.github.dannil.scbjavaclient.client.publicfinances.localtaxes,PublicFinancesLocalTaxesClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.format,ITableFormat,0,24,0,2,0,5,0,3,0,2
scb-java-client,com.github.dannil.scbjavaclient.client.livingconditions.surveys,LivingConditionsSurveysClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.population.statistics.density,PopulationStatisticsDensityClient,0,42,0,0,0,11,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.environment.landuse.usage,EnvironmentLandUseUsageClient,12,88,0,0,2,18,2,12,2,12
scb-java-client,com.github.dannil.scbjavaclient.client.financialmarkets.enterprises,FinancialMarketsEnterprisesClient,0,72,0,0,0,17,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.population.statistics.asylumseekers,PopulationStatisticsAsylumSeekersClient,0,78,0,0,0,18,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.publicfinances,PublicFinancesClient,0,80,0,0,0,18,0,9,0,9
scb-java-client,com.github.dannil.scbjavaclient.client.environment.landuse.buildings,EnvironmentLandUseBuildingsClient,0,42,0,0,0,11,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.financialmarkets.balanceofpayments.internationalinvestmentposition,FinancialMarketsBalanceOfPaymentsInternationalInvestmentPositionClient,0,246,0,0,0,51,0,17,0,17
scb-java-client,com.github.dannil.scbjavaclient.client.energy.monthlystatistics,EnergyMonthlyStatisticsClient,0,62,0,0,0,14,0,8,0,8
scb-java-client,com.github.dannil.scbjavaclient.constants,ClientConstants,0,7,0,0,0,1,0,1,0,1
scb-java-client,com.github.dannil.scbjavaclient.constants,APIConstants,0,11,0,0,0,2,0,1,0,1
scb-java-client,com.github.dannil.scbjavaclient.client.population.statistics,PopulationStatisticsClient,0,190,0,0,0,38,0,19,0,19
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.database,BusinessActivitiesDatabaseClient,0,72,0,0,0,17,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.livingconditions.families.legalguardians,LivingConditionsFamiliesLegalGuardiansClient,0,48,0,0,0,12,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.environment.seea.energyaccounts,EnvironmentSEEAEnergyAccountsClient,0,42,0,0,0,11,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.industrialinventories,BusinessActivitiesIndustrialInventoriesClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.pricesandconsumption.cpi.kpif,PricesAndConsumptionCPIKPIFClient,0,44,0,0,0,12,0,8,0,8
scb-java-client,com.github.dannil.scbjavaclient.client.labourmarket.shorttermemployment.population,LabourMarketShortTermEmploymentPopulationClient,0,42,0,0,0,11,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.goodsandservices.foreigntradegoods.cn,GoodsAndServicesForeignTradeGoodsCNClient,5,31,0,0,1,9,1,4,1,4
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.industrialcapacityutilization.industrialcapacityutilization,BusinessActivitiesIndustrialCapacityUtilizationIndustrialCapacityUtilizationClient,0,84,0,0,0,20,0,9,0,9
scb-java-client,com.github.dannil.scbjavaclient.client.energy.annualstatistics,EnergyAnnualStatisticsClient,0,120,0,0,0,27,0,11,0,11
scb-java-client,com.github.dannil.scbjavaclient.client.pricesandconsumption.purchasingpowerparities,PricesAndConsumptionPurchasingPowerParitiesClient,0,66,0,0,0,16,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.environment.seea.goodsandservicessector,EnvironmentSEEAGoodsAndServicesSectorClient,0,112,0,0,0,25,0,14,0,14
scb-java-client,com.github.dannil.scbjavaclient.client.population.statistics.amount,PopulationStatisticsAmountClient,0,54,0,0,0,13,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.financialmarkets.shareholders.swedishmarketplace,FinancialMarketsShareholdersSwedishMarketplaceClient,0,72,0,0,0,17,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.industrialcapacityutilization.economicindicators,BusinessActivitiesIndustrialCapacityUtilizationEconomicIndicatorsClient,0,30,0,0,0,9,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.financialmarkets.balanceofpayments.directinvestments,FinancialMarketsBalanceOfPaymentsDirectInvestmentsClient,0,132,0,0,0,30,0,13,0,13
scb-java-client,com.github.dannil.scbjavaclient.client.environment.packagingandpackagingwaste,EnvironmentPackagingAndPackagingWasteClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.pricesandconsumption.cpi,PricesAndConsumptionCPIClient,0,69,0,0,0,16,0,8,0,8
scb-java-client,com.github.dannil.scbjavaclient.client.environment.landandwaterarea,EnvironmentLandAndWaterAreaClient,0,42,0,0,0,11,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.financialmarkets.balanceofpayments.portfolioinvestment,FinancialMarketsBalanceOfPaymentsPortfolioInvestmentClient,6,162,0,0,1,35,1,12,1,12
scb-java-client,com.github.dannil.scbjavaclient.client.goodsandservices.foreigntradegoods.economicindicators,GoodsAndServicesForeignTradeGoodsEconomicIndicatorsClient,0,60,0,0,0,15,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.goodsandservices.foreigntradegoods.spin,GoodsAndServicesForeignTradeGoodsSPINClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.goodsandservices.foreigntradegoods.sitc,GoodsAndServicesForeignTradeGoodsSITCClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.agriculture.holdings,AgricultureHoldingsClient,0,102,0,0,0,23,0,9,0,9
scb-java-client,com.github.dannil.scbjavaclient.client.environment.smallerlocalities,EnvironmentSmallerLocalitiesClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.publicfinances.annualaccounts.balancesheetmunicipality,PublicFinancesAnnualAccountsBalanceSheetMunicipalityClient,0,162,0,0,0,35,0,13,0,13
scb-java-client,com.github.dannil.scbjavaclient.client.population.statistics.foreignbornpersons,PopulationStatisticsForeignBornPersonsClient,0,90,0,0,0,20,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.nonprofitorganizations,BusinessActivitiesNonProfitOrganizationsClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.population.name,PopulationNameClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.industrialinventories.inventories,BusinessActivitiesIndustrialInventoriesInventoriesClient,0,42,0,0,0,11,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.environment.landuse.infrastructurefortransport,EnvironmentLandUseInfrastructureForTransportClient,0,150,0,0,0,33,0,13,0,13
scb-java-client,com.github.dannil.scbjavaclient.client.financialmarkets.statistics.statistics,FinancialMarketsStatisticsStatisticsClient,0,90,0,0,0,21,0,9,0,9
scb-java-client,com.github.dannil.scbjavaclient.client.environment.waste,EnvironmentWasteClient,0,78,0,0,0,18,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.population,PopulationClient,0,47,0,0,0,12,0,6,0,6
scb-java-client,com.github.dannil.scbjavaclient.client.financialmarkets.statistics.claimsandliabilities,FinancialMarketsStatisticsClaimsAndLiabilitiesClient,8,82,0,0,1,19,1,6,1,6
scb-java-client,com.github.dannil.scbjavaclient.client.educationandresearch,EducationAndResearchClient,0,47,0,0,0,12,0,6,0,6
scb-java-client,com.github.dannil.scbjavaclient.client.labourmarket,LabourMarketClient,0,47,0,0,0,12,0,6,0,6
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.industrialinventories.economicindicators,BusinessActivitiesIndustrialInventoriesEconomicIndicatorsClient,0,30,0,0,0,9,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.pricesandconsumption.cci.fpiincludingwage,PricesAndConsumptionCCIFPIIncludingWageClient,0,72,0,0,0,17,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.environment.seea.materialflowaccounts,EnvironmentSEEAMaterialFlowAccountsClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.population.statistics.citizenship,PopulationStatisticsCitizenshipClient,0,78,0,0,0,18,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.productionindex,BusinessActivitiesProductionIndexClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.population.statistics.livebirths,PopulationStatisticsLiveBirthsClient,0,48,0,0,0,12,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.population.projections.latestassumptions,PopulationProjectionsLatestAssumptionsClient,7,101,0,0,1,23,1,8,1,8
scb-java-client,com.github.dannil.scbjavaclient.client.environment.greenhousegas,EnvironmentGreenhouseGasClient,0,342,0,0,0,71,0,25,0,25
scb-java-client,com.github.dannil.scbjavaclient.client.educationandresearch.communityinnovationsurvey,EducationAndResearchCommunityInnovationSurveyClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client,AbstractContainerClient,0,56,0,4,0,16,0,7,0,5
scb-java-client,com.github.dannil.scbjavaclient.client,SCBClient,0,317,0,10,0,67,0,29,0,24
scb-java-client,com.github.dannil.scbjavaclient.client,SCBClientBuilder,0,23,0,0,0,8,0,4,0,4
scb-java-client,com.github.dannil.scbjavaclient.client,AbstractClient,0,190,0,8,0,46,0,19,0,15
scb-java-client,com.github.dannil.scbjavaclient.client.population.statistics.meanpopulation,PopulationStatisticsMeanPopulationClient,0,90,0,0,0,20,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.financialmarkets.balanceofpayments,FinancialMarketsBalanceOfPaymentsClient,0,69,0,0,0,16,0,8,0,8
scb-java-client,com.github.dannil.scbjavaclient.validator.json,JsonValidator,0,4,0,0,0,1,0,1,0,1
scb-java-client,com.github.dannil.scbjavaclient.client.pricesandconsumption.ppi.spin2007monthlyandquarterly,PricesAndConsumptionPPISPIN2007MonthlyAndQuarterlyClient,5,92,0,0,1,20,1,15,1,15
scb-java-client,com.github.dannil.scbjavaclient.communication.http.requester,GETRequester,13,32,0,0,5,11,0,4,0,4
scb-java-client,com.github.dannil.scbjavaclient.communication.http.requester,RequesterSingletonFactory.POSTHolder,0,6,0,0,0,1,0,1,0,1
scb-java-client,com.github.dannil.scbjavaclient.communication.http.requester,POSTRequester,13,51,0,2,5,16,0,7,0,6
scb-java-client,com.github.dannil.scbjavaclient.communication.http.requester,RequesterSingletonFactory.GETHolder,0,6,0,0,0,1,0,1,0,1
scb-java-client,com.github.dannil.scbjavaclient.communication.http.requester,RequesterSingletonFactory,0,40,0,2,0,10,0,4,0,3
scb-java-client,com.github.dannil.scbjavaclient.communication.http.requester,RequesterFactory,6,19,1,2,1,4,1,3,0,2
scb-java-client,com.github.dannil.scbjavaclient.communication.http.requester,AbstractRequester,6,189,0,4,2,45,0,10,0,8
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.nonfinancialcorporations,BusinessActivitiesNonFinancialCorporationsClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.environment.protectednature,EnvironmentProtectedNatureClient,0,47,0,0,0,12,0,6,0,6
scb-java-client,com.github.dannil.scbjavaclient.client.population.statistics.deaths,PopulationStatisticsDeathsClient,0,168,0,0,0,36,0,13,0,13
scb-java-client,com.github.dannil.scbjavaclient.format.json,JsonAPIConfigTableFormat,0,59,0,4,0,15,0,5,0,3
scb-java-client,com.github.dannil.scbjavaclient.format.json,JsonAPITableFormat,0,83,0,8,0,18,0,7,0,3
scb-java-client,com.github.dannil.scbjavaclient.format.json,JsonCustomResponseFormat,0,217,0,12,0,42,0,11,0,5
scb-java-client,com.github.dannil.scbjavaclient.format.json,JsonConverter,0,58,0,2,0,15,0,6,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.financialmarkets.investmentfunds,FinancialMarketsInvestmentFundsClient,12,36,0,0,2,10,1,4,1,4
scb-java-client,com.github.dannil.scbjavaclient.client.livingconditions.families.housing,LivingConditionsFamiliesHousingClient,0,66,0,0,0,15,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.ordersandturnover.ordersandturnover,BusinessActivitiesOrdersAndTurnoverOrdersAndTurnoverClient,0,72,0,0,0,17,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.educationandresearch.communityinnovationsurvey.cooperation,EducationAndResearchCommunityInnovationSurveyCooperationClient,0,84,0,0,0,19,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.livingconditions.surveys.health,LivingConditionsSurveysHealthClient,0,131,0,0,0,23,0,16,0,16
scb-java-client,com.github.dannil.scbjavaclient.communication,URLEndpoint,0,191,0,10,0,40,0,19,0,14
scb-java-client,com.github.dannil.scbjavaclient.communication,CommunicationProtocol,0,37,0,0,0,6,0,3,0,3
scb-java-client,com.github.dannil.scbjavaclient.client.pricesandconsumption.bpi,PricesAndConsumptionBPIClient,0,72,0,0,0,17,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.pricesandconsumption.ppi.spin2015monthlyandquarterly,PricesAndConsumptionPPISPIN2015MonthlyAndQuarterlyClient,25,61,0,0,5,14,5,9,5,9
scb-java-client,com.github.dannil.scbjavaclient.client.population.name.newborn,PopulationNameNewbornClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.exception,SCBClientResponseTooLargeException,0,16,0,0,0,8,0,4,0,4
scb-java-client,com.github.dannil.scbjavaclient.exception,SCBClientParsingException,0,16,0,0,0,8,0,4,0,4
scb-java-client,com.github.dannil.scbjavaclient.exception,SCBClientException,0,16,0,0,0,8,0,4,0,4
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities,BusinessActivitiesClient,0,124,0,0,0,26,0,13,0,13
scb-java-client,com.github.dannil.scbjavaclient.client.goodsandservices.foodsales,GoodsAndServicesFoodSalesClient,0,60,0,0,0,15,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.environment.landuse.planning,EnvironmentLandUsePlanningClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.industrialcapacityutilization,BusinessActivitiesIndustrialCapacityUtilizationClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.financialmarkets.shareholders,FinancialMarketsShareholdersClient,42,102,0,0,8,24,4,9,4,9
scb-java-client,com.github.dannil.scbjavaclient.model,GenericModel,0,101,0,8,0,23,0,9,0,5
scb-java-client,com.github.dannil.scbjavaclient.model,ValueNode,0,133,0,12,0,35,0,17,0,11
scb-java-client,com.github.dannil.scbjavaclient.model,ResponseModel,0,157,0,16,0,42,0,21,0,13
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.ordersandturnover.oldtablessni2002,BusinessActivitiesOrdersAndTurnoverOldTablesSNI2002Client,0,132,0,0,0,29,0,11,0,11
scb-java-client,com.github.dannil.scbjavaclient.client.environment,EnvironmentClient,0,124,0,0,0,26,0,13,0,13
scb-java-client,com.github.dannil.scbjavaclient.client.financialmarkets.balanceofpayments.payments,FinancialMarketsBalanceOfPaymentsPaymentsClient,0,300,0,0,0,63,0,23,0,23
scb-java-client,com.github.dannil.scbjavaclient.client.educationandresearch.folkhighschoolstatistics,EducationAndResearchFolkHighSchoolStatisticsClient,0,48,0,0,0,12,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.livingconditions.families.siblings,LivingConditionsFamiliesSiblingsClient,0,54,0,0,0,13,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.environment.localitiesareasandpopulation.population,EnvironmentLocalitiesAreasAndPopulationPopulationClient,5,85,0,0,1,20,1,8,1,8
scb-java-client,com.github.dannil.scbjavaclient.client.environment.landuse,EnvironmentLandUseClient,0,58,0,0,0,14,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.goodsandservices.foreigntradegoods.total,GoodsAndServicesForeignTradeGoodsTotalClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.pricesandconsumption.ppi.economicindicators,PricesAndConsumptionPPIEconomicIndicatorsClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.livingconditions.families,LivingConditionsFamiliesClient,0,58,0,0,0,14,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.financialmarkets.institutions,FinancialMarketsInstitutionsClient,0,48,0,0,0,12,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.labourmarket.grosspay.aggregatewages,LabourMarketGrossPayAggregateWagesClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.pricesandconsumption.cci.fpiexcludingwage,PricesAndConsumptionCCIFPIExcludingWageClient,0,72,0,0,0,17,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.ordersandturnover.oldtablessni2007,BusinessActivitiesOrdersAndTurnoverOldTablesSNI2007Client,0,96,0,0,0,22,0,9,0,9
